name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J004228.2+411222,LMXB,HMXB,66,0.057±0.136,0.113±0.181,0.128±0.234,0.095±0.217,0.217±0.238,0.171±0.211,0.167±0.25,0.006±0.017,0.004±0.018,0.043±0.17,10.617879367090552,41.2063854402319
2CXO J004246.9+411615,Seyfert_1,LMXB,22,0.074±0.143,0.063±0.088,0.219±0.258,0.118±0.2,0.125±0.148,0.226±0.236,0.115±0.181,0.005±0.013,0.003±0.013,0.051±0.203,10.695674817273016,41.27099019714981
2CXO J004244.3+411608A,Seyfert_1,QSO,15,0.24±0.297,0.09±0.126,0.162±0.203,0.092±0.25,0.06±0.125,0.027±0.056,0.012±0.03,0.155±0.284,0.014±0.041,0.147±0.277,10.684844167300014,41.26908712360001
2CXO J004244.3+411608,Seyfert_1,QSO,15,0.24±0.297,0.09±0.126,0.162±0.203,0.092±0.25,0.06±0.125,0.027±0.056,0.012±0.03,0.155±0.284,0.014±0.041,0.147±0.277,10.684754953751051,41.26900040308594
2CXO J010043.0-721133,Orion_V*,YSO,14,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.009±0.022,0.121±0.29,0.0±0.0,0.423±0.408,0.035±0.101,0.412±0.379,15.17934083559402,-72.19270093605508
2CXO J004242.4+411553,XB,HMXB,13,0.005±0.007,0.068±0.115,0.135±0.137,0.108±0.188,0.277±0.256,0.153±0.154,0.247±0.269,0.001±0.002,0.0±0.0,0.006±0.022,10.676989510199746,41.26490250506063
2CXO J063354.3+174614,AGN,Seyfert_1,11,0.221±0.197,0.348±0.29,0.419±0.33,0.011±0.031,0.001±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,98.47636594167966,17.770772567322517
2CXO J133656.6-294912,LMXB,HMXB,11,0.001±0.002,0.034±0.041,0.01±0.016,0.022±0.062,0.373±0.31,0.361±0.24,0.106±0.127,0.001±0.002,0.0±0.0,0.091±0.287,204.23600085933617,-29.82012980748005
2CXO J061538.9-574204,YSO,HMXB,10,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.4±0.49,0.216±0.395,0.0±0.0,0.384±0.472,0.0±0.0,0.0±0.001,93.91223682053862,-57.70123228946565
2CXO J053816.3-692331,Orion_V*,YSO,10,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.001,0.0±0.0,0.0±0.0,0.505±0.426,0.0±0.0,0.495±0.426,84.568083528172,-69.39196492113194
2CXO J004244.8+411739,AGN,Seyfert_1,9,0.092±0.166,0.108±0.177,0.209±0.226,0.128±0.312,0.205±0.293,0.068±0.131,0.17±0.22,0.02±0.056,0.0±0.0,0.001±0.003,10.687065692039257,41.2943436082504
2CXO J004228.9+410436,HMXB,QSO,9,0.327±0.355,0.128±0.087,0.107±0.166,0.015±0.026,0.281±0.308,0.026±0.064,0.058±0.131,0.012±0.025,0.028±0.073,0.019±0.045,10.620706160574684,41.07679885224911
2CXO J132506.3-430221,QSO,Seyfert_1,8,0.324±0.306,0.074±0.098,0.39±0.347,0.041±0.081,0.137±0.288,0.0±0.0,0.003±0.002,0.013±0.03,0.0±0.0,0.018±0.043,201.27628598930343,-43.03917821130853
2CXO J053525.4-052134,Orion_V*,YSO,7,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.024,0.004±0.009,0.0±0.0,0.504±0.322,0.006±0.01,0.477±0.333,83.85615101617304,-5.3596762750463
2CXO J132533.9-425859,HMXB,AGN,7,0.056±0.068,0.4±0.338,0.074±0.176,0.004±0.01,0.322±0.313,0.065±0.041,0.071±0.109,0.004±0.007,0.003±0.007,0.001±0.002,201.39141455553656,-42.98320026942256
2CXO J132522.3-425717,YSO,HMXB,7,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.411±0.471,0.031±0.075,0.0±0.0,0.377±0.416,0.138±0.227,0.044±0.059,201.34302982500867,-42.95473568268528
2CXO J174517.3-290625,LMXB,Orion_V*,7,0.047±0.087,0.082±0.105,0.022±0.052,0.001±0.002,0.234±0.309,0.202±0.256,0.0±0.0,0.125±0.3,0.0±0.0,0.286±0.447,266.32212630977426,-29.107050268220533
2CXO J123049.2+122334,LMXB,Orion_V*,7,0.006±0.015,0.0±0.001,0.011±0.026,0.126±0.307,0.193±0.327,0.229±0.378,0.0±0.0,0.169±0.274,0.002±0.004,0.263±0.34,187.70516970553703,12.392939742258667
2CXO J053510.4-052245,YSO,Orion_V*,7,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.098±0.241,0.0±0.0,0.329±0.212,0.149±0.288,0.423±0.163,83.79371967476601,-5.37933889416196
2CXO J173027.9-213142,Orion_V*,HMXB,7,0.0±0.0,0.002±0.004,0.0±0.0,0.0±0.0,0.407±0.263,0.122±0.168,0.014±0.034,0.163±0.223,0.0±0.0,0.292±0.376,262.6165357273594,-21.528444063688603
2CXO J104419.8-595923,LMXB,YSO,6,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.328±0.463,0.0±0.0,0.338±0.461,0.0±0.0,0.335±0.454,161.08256532298913,-59.98985891632598
2CXO J104419.5-595937,LMXB,YSO,6,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.328±0.463,0.0±0.0,0.338±0.461,0.0±0.0,0.335±0.454,161.08130166397711,-59.99364645666484
2CXO J031851.0+414151,AGN,HMXB,6,0.104±0.192,0.207±0.359,0.185±0.354,0.088±0.186,0.234±0.36,0.003±0.006,0.013±0.028,0.0±0.0,0.008±0.017,0.159±0.355,49.71269028209281,41.6977433041174
2CXO J013356.7+303729,LMXB,HMXB,6,0.085±0.168,0.167±0.211,0.03±0.045,0.026±0.04,0.29±0.214,0.217±0.223,0.091±0.117,0.013±0.022,0.073±0.162,0.009±0.02,23.486582234297828,30.62493252658876
2CXO J133806.0-294427,AGN,HMXB,6,0.184±0.14,0.152±0.18,0.138±0.215,0.136±0.271,0.202±0.342,0.0±0.001,0.0±0.0,0.004±0.007,0.001±0.002,0.183±0.316,204.5253590784198,-29.74109551361284
2CXO J200043.5+224224,YSO,HMXB,6,0.0±0.0,0.018±0.033,0.0±0.001,0.0±0.0,0.453±0.334,0.049±0.067,0.066±0.148,0.395±0.392,0.015±0.026,0.003±0.003,300.1814734830806,22.70685950435566
2CXO J053515.8-052245,Orion_V*,YSO,6,0.0±0.0,0.0±0.0,0.097±0.216,0.024±0.054,0.034±0.075,0.098±0.163,0.012±0.028,0.382±0.319,0.026±0.042,0.326±0.328,83.81596975617316,-5.379353773785622
2CXO J020840.8+105533,AGN,QSO,5,0.436±0.149,0.268±0.254,0.168±0.148,0.0±0.0,0.016±0.032,0.003±0.006,0.103±0.202,0.0±0.0,0.006±0.013,0.0±0.0,32.17037988754413,10.925945345621438
2CXO J053517.8-052053,Orion_V*,YSO,5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.058±0.115,0.0±0.0,0.421±0.277,0.12±0.205,0.402±0.311,83.82433875488351,-5.348284900997842
2CXO J053505.6-052504,YSO,LMXB,5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.401±0.488,0.0±0.0,0.353±0.43,0.207±0.391,0.038±0.05,83.77372988482762,-5.417815593850397
2CXO J065758.8-555004,AGN,QSO,5,0.398±0.122,0.388±0.238,0.136±0.229,0.0±0.0,0.043±0.04,0.027±0.054,0.007±0.012,0.0±0.0,0.0±0.0,0.0±0.0,104.495241496029,-55.83467733973142
2CXO J031003.7-204107,Seyfert_1,AGN,5,0.211±0.171,0.253±0.178,0.222±0.188,0.02±0.031,0.157±0.156,0.099±0.177,0.036±0.033,0.002±0.004,0.0±0.0,0.0±0.0,47.51571798819532,-20.68537028204967
2CXO J020807.6+110612,QSO,Seyfert_1,5,0.303±0.261,0.156±0.092,0.308±0.166,0.138±0.257,0.069±0.124,0.019±0.038,0.006±0.012,0.0±0.0,0.0±0.0,0.0±0.0,32.03208310481648,11.10334789516175
2CXO J013402.0+303004,Seyfert_1,QSO,5,0.203±0.303,0.176±0.068,0.125±0.221,0.068±0.1,0.184±0.259,0.119±0.1,0.126±0.126,0.0±0.0,0.001±0.001,0.0±0.0,23.508488099987176,30.50135501948946
2CXO J132546.0-431103,Seyfert_1,Seyfert_2,5,0.007±0.014,0.027±0.052,0.174±0.214,0.278±0.353,0.095±0.114,0.172±0.286,0.044±0.043,0.002±0.004,0.196±0.391,0.004±0.008,201.441710262804,-43.184371724784754
2CXO J100152.1+021158,YSO,TTau*,5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.022±0.041,0.096±0.192,0.0±0.0,0.282±0.22,0.394±0.28,0.206±0.264,150.467376488144,2.1994697184241003
2CXO J203231.9+411353,LMXB,YSO,5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.371±0.456,0.0±0.0,0.419±0.473,0.001±0.002,0.209±0.394,308.1330726449712,41.23154063521464
2CXO J201225.5-564951,AGN,Seyfert_1,5,0.146±0.162,0.27±0.216,0.298±0.298,0.071±0.128,0.082±0.086,0.006±0.009,0.126±0.234,0.0±0.0,0.0±0.0,0.0±0.0,303.1063967311967,-56.83085843760214
2CXO J155453.3+661826,AGN,Seyfert_1,4,0.132±0.089,0.325±0.314,0.399±0.338,0.017±0.018,0.002±0.002,0.006±0.011,0.0±0.0,0.011±0.019,0.06±0.104,0.047±0.08,238.72233372894647,66.30725398325411
2CXO J164051.9+464104,TTau*,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.34±0.4,0.338±0.408,0.322±0.391,250.2162899326072,46.68461653602465
2CXO J010205.9-221034,QSO,AGN,4,0.149±0.221,0.28±0.373,0.011±0.011,0.009±0.016,0.103±0.102,0.093±0.099,0.101±0.12,0.236±0.407,0.004±0.005,0.014±0.023,15.524775816259364,-22.17631094591304
2CXO J100508.2-074459,LMXB,Seyfert_1,4,0.127±0.146,0.074±0.076,0.286±0.375,0.095±0.16,0.137±0.173,0.266±0.424,0.016±0.027,0.0±0.0,0.0±0.0,0.0±0.0,151.28442430819973,-7.749848820639015
2CXO J100513.9-074306,QSO,AGN,4,0.364±0.204,0.404±0.35,0.039±0.038,0.007±0.008,0.032±0.043,0.134±0.151,0.02±0.027,0.0±0.0,0.0±0.0,0.0±0.0,151.3080456235,-7.718599797199999
2CXO J162114.3+381059,AGN,QSO,4,0.421±0.312,0.252±0.2,0.064±0.059,0.0±0.0,0.073±0.072,0.038±0.064,0.005±0.006,0.056±0.097,0.0±0.0,0.092±0.159,245.30994129745568,38.183254543179125
2CXO J110629.4-182202,XB,Seyfert_1,4,0.187±0.13,0.097±0.117,0.304±0.275,0.001±0.002,0.105±0.124,0.025±0.043,0.122±0.211,0.001±0.001,0.158±0.273,0.001±0.002,166.62279708124038,-18.367223222202835
2CXO J104814.3+124541,HMXB,AGN,4,0.077±0.106,0.4±0.314,0.109±0.12,0.001±0.001,0.354±0.334,0.007±0.01,0.026±0.035,0.0±0.0,0.016±0.027,0.01±0.017,162.05972210723417,12.76143189618624
2CXO J051959.0-454448,Orion_V*,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.022±0.038,0.108±0.114,0.0±0.0,0.412±0.291,0.186±0.321,0.272±0.198,79.99593851781128,-45.746892195683664
2CXO J020911.0+110020,QSO,Seyfert_1,4,0.258±0.242,0.294±0.28,0.425±0.309,0.013±0.016,0.009±0.011,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,32.29619952502617,11.00572462139825
2CXO J052300.1+333530,LMXB,HMXB,4,0.0±0.0,0.125±0.134,0.0±0.001,0.001±0.002,0.427±0.326,0.391±0.211,0.0±0.0,0.027±0.032,0.0±0.0,0.029±0.037,80.75052452374712,33.591866664604794
2CXO J010334.4-221614,HMXB,Seyfert_1,4,0.009±0.012,0.206±0.29,0.238±0.254,0.034±0.056,0.179±0.165,0.064±0.105,0.175±0.299,0.001±0.001,0.094±0.154,0.0±0.001,15.893465879973633,-22.2706615638862
2CXO J013323.9+303517,AGN,Seyfert_2,4,0.184±0.305,0.152±0.177,0.201±0.324,0.249±0.333,0.083±0.038,0.038±0.066,0.038±0.063,0.002±0.003,0.051±0.056,0.001±0.001,23.34970252131341,30.58818824032962
2CXO J190834.0+001139,YSO,Orion_V*,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.081±0.105,0.0±0.0,0.444±0.349,0.025±0.039,0.45±0.355,287.1420565220852,0.1942157834700346
2CXO J182615.0-145055,LMXB,Orion_V*,4,0.001±0.001,0.015±0.021,0.209±0.335,0.0±0.0,0.125±0.074,0.189±0.322,0.0±0.0,0.182±0.305,0.0±0.0,0.279±0.334,276.5627355755772,-14.848703589585773
2CXO J002549.0-122659,AGN,QSO,4,0.394±0.306,0.154±0.228,0.203±0.249,0.006±0.011,0.02±0.025,0.065±0.096,0.157±0.273,0.0±0.0,0.0±0.0,0.0±0.0,6.454523125341154,-12.449911899099304
2CXO J002651.2+640342,Orion_V*,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.099±0.155,0.282±0.417,0.0±0.0,0.35±0.375,0.038±0.057,0.231±0.281,6.713361016973067,64.06184614741744
2CXO J065856.0-555205,HMXB,QSO,4,0.314±0.309,0.2±0.143,0.025±0.038,0.006±0.004,0.293±0.297,0.108±0.184,0.047±0.062,0.004±0.008,0.001±0.001,0.0±0.0,104.73369826845637,-55.8681439246538
2CXO J203233.4+411405,LMXB,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.464±0.466,0.0±0.0,0.523±0.476,0.001±0.002,0.012±0.019,308.1395629030725,41.23489030769044
2CXO J203229.1+411402,LMXB,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.464±0.466,0.0±0.0,0.523±0.476,0.001±0.002,0.012±0.019,308.1214676624232,41.233929505605545
2CXO J033912.1-352812,HMXB,Seyfert_1,4,0.058±0.053,0.047±0.043,0.343±0.341,0.079±0.071,0.33±0.343,0.049±0.073,0.005±0.005,0.009±0.016,0.0±0.001,0.079±0.137,54.80077475071454,-35.47000847197666
2CXO J053516.5-052405,TTau*,HMXB,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.259±0.324,0.25±0.433,0.013±0.023,0.151±0.15,0.206±0.204,0.119±0.076,83.81906660110224,-5.401619548045637
2CXO J002316.1-720733,Seyfert_2,HMXB,4,0.035±0.037,0.189±0.219,0.005±0.007,0.155±0.266,0.381±0.358,0.008±0.012,0.047±0.051,0.167±0.285,0.004±0.003,0.011±0.016,5.81729190193613,-72.12594059754775
2CXO J123017.7+122545,Seyfert_1,Seyfert_2,4,0.164±0.177,0.184±0.184,0.124±0.203,0.236±0.346,0.194±0.16,0.047±0.058,0.01±0.008,0.026±0.027,0.005±0.006,0.011±0.019,187.57394661868864,12.429281336722765
2CXO J053514.8-052315,TTau*,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.005±0.005,0.214±0.214,0.0±0.0,0.334±0.256,0.201±0.327,0.246±0.31,83.8117817749079,-5.387712249537306
2CXO J004231.8+405708,HMXB,XB,4,0.003±0.006,0.053±0.088,0.034±0.032,0.064±0.083,0.295±0.184,0.071±0.061,0.479±0.331,0.001±0.0,0.0±0.0,0.0±0.0,10.63281984814222,40.952342512050045
2CXO J024024.5+385503,AGN,QSO,4,0.399±0.328,0.392±0.377,0.157±0.195,0.012±0.013,0.004±0.006,0.001±0.002,0.035±0.06,0.0±0.0,0.0±0.0,0.0±0.0,40.10217383217315,38.91751884856364
2CXO J132538.1-431212,LMXB,TTau*,4,0.011±0.012,0.075±0.106,0.002±0.004,0.04±0.069,0.229±0.297,0.141±0.213,0.002±0.003,0.125±0.205,0.247±0.374,0.128±0.174,201.40900214327257,-43.20349519912997
2CXO J122349.6+072659,TTau*,Orion_V*,4,0.0±0.0,0.0±0.0,0.216±0.373,0.0±0.0,0.25±0.433,0.035±0.059,0.0±0.0,0.031±0.034,0.185±0.32,0.283±0.378,185.95698549723488,7.44975238780996
2CXO J132546.0-425510,Seyfert_2,YSO,4,0.0±0.001,0.0±0.0,0.0±0.0,0.12±0.141,0.002±0.003,0.176±0.223,0.043±0.074,0.45±0.322,0.149±0.254,0.06±0.102,201.44193751743524,-42.91955326096796
2CXO J053429.1-051420,Orion_V*,YSO,4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.154±0.231,0.0±0.0,0.0±0.0,0.463±0.319,0.17±0.266,0.213±0.229,83.6212628459939,-5.238934984231846
2CXO J033334.6-360936,QSO,XB,4,0.212±0.346,0.208±0.268,0.09±0.085,0.206±0.357,0.031±0.049,0.002±0.002,0.251±0.432,0.0±0.0,0.0±0.0,0.0±0.0,53.39422358526616,-36.16015254490303
2CXO J174018.4-533948,HMXB,QSO,3,0.34±0.261,0.121±0.085,0.007±0.006,0.115±0.109,0.33±0.192,0.057±0.063,0.028±0.028,0.0±0.001,0.0±0.0,0.0±0.001,265.07686350781694,-53.663444865823415
2CXO J033827.6-352648,YSO,Seyfert_1,3,0.103±0.125,0.034±0.048,0.404±0.392,0.0±0.0,0.12±0.158,0.0±0.0,0.0±0.0,0.238±0.337,0.006±0.007,0.095±0.134,54.61521735422923,-35.44685641038909
2CXO J053608.7-052103,XB,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.001,0.006±0.009,0.0±0.0,0.322±0.424,0.352±0.442,0.311±0.44,0.008±0.011,84.03638850485339,-5.351057575580295
2CXO J045354.2-102553,TTau*,QSO,3,0.348±0.444,0.289±0.4,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.017±0.024,0.03±0.043,0.191±0.253,0.123±0.166,73.4761767153957,-10.43149630267306
2CXO J190714.3+091919,LMXB,TTau*,3,0.0±0.0,0.086±0.036,0.009±0.011,0.288±0.211,0.003±0.002,0.3±0.164,0.0±0.0,0.0±0.0,0.314±0.386,0.0±0.0,286.80968207726346,9.322134020060854
2CXO J042649.2+255611,LMXB,HMXB,3,0.106±0.105,0.083±0.058,0.052±0.074,0.188±0.232,0.307±0.306,0.148±0.109,0.111±0.087,0.002±0.002,0.001±0.0,0.002±0.002,66.7053973689454,25.93641518394412
2CXO J174545.2-285828,TTau*,Seyfert_2,3,0.0±0.0,0.001±0.001,0.0±0.0,0.333±0.47,0.108±0.119,0.001±0.001,0.0±0.0,0.219±0.156,0.268±0.229,0.071±0.052,266.4386856800252,-28.97455935160832
2CXO J042724.5+255808,Orion_V*,HMXB,3,0.032±0.036,0.094±0.133,0.0±0.0,0.0±0.0,0.353±0.213,0.014±0.018,0.002±0.002,0.302±0.219,0.038±0.038,0.163±0.175,66.85224419980784,25.969013535078595
2CXO J045414.9-100226,QSO,TTau*,3,0.241±0.341,0.077±0.109,0.055±0.049,0.246±0.344,0.039±0.055,0.0±0.0,0.0±0.0,0.0±0.0,0.323±0.435,0.019±0.026,73.56209530455487,-10.040569612527948
2CXO J033808.7-353419,Orion_V*,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.369±0.348,0.332±0.458,0.298±0.301,54.53657767439273,-35.57197039706611
2CXO J203213.8+412711,LMXB,Orion_V*,3,0.001±0.002,0.271±0.383,0.009±0.013,0.0±0.0,0.052±0.074,0.196±0.277,0.0±0.0,0.137±0.194,0.0±0.0,0.334±0.471,308.05767482334863,41.45329027236805
2CXO J031937.5+413844,Orion_V*,HMXB,3,0.0±0.0,0.003±0.004,0.0±0.0,0.0±0.0,0.398±0.426,0.001±0.002,0.0±0.0,0.381±0.33,0.025±0.036,0.192±0.194,49.906273036873074,41.64563635838434
2CXO J044207.0-490013,QSO,Seyfert_1,3,0.388±0.279,0.139±0.168,0.429±0.4,0.021±0.029,0.01±0.009,0.003±0.004,0.011±0.011,0.0±0.0,0.0±0.0,0.0±0.0,70.5293482013098,-49.003753042943806
2CXO J045356.9+024644,AGN,Seyfert_1,3,0.002±0.003,0.328±0.443,0.341±0.465,0.0±0.001,0.055±0.077,0.027±0.037,0.024±0.031,0.012±0.016,0.208±0.289,0.002±0.003,73.48745016824819,2.7789404278450776
2CXO J032957.9-021320,HMXB,QSO,3,0.341±0.412,0.284±0.224,0.045±0.063,0.001±0.002,0.233±0.205,0.012±0.012,0.079±0.097,0.001±0.001,0.0±0.0,0.003±0.003,52.491342693219394,-2.2224708972952807
2CXO J041423.5+053509,LMXB,HMXB,3,0.002±0.002,0.06±0.057,0.007±0.01,0.0±0.0,0.342±0.319,0.308±0.261,0.221±0.292,0.06±0.085,0.0±0.0,0.0±0.0,63.598287006837495,5.586013848498457
2CXO J031656.0-442548,Orion_V*,AGN,3,0.146±0.151,0.311±0.423,0.002±0.002,0.0±0.0,0.064±0.091,0.141±0.199,0.002±0.003,0.124±0.175,0.0±0.0,0.211±0.296,49.23372330338782,-44.4302187962092
2CXO J074423.3+375514,YSO,TTau*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.006±0.008,0.0±0.0,0.0±0.0,0.472±0.383,0.488±0.408,0.034±0.025,116.09713562754432,37.92073032665743
2CXO J095522.1+690510,Seyfert_2,HMXB,3,0.054±0.076,0.278±0.282,0.066±0.061,0.134±0.15,0.426±0.172,0.007±0.007,0.032±0.042,0.003±0.005,0.0±0.0,0.0±0.0,148.8420974190277,69.08624625094036
2CXO J095534.9+690342,Seyfert_1,LMXB,3,0.0±0.0,0.022±0.017,0.225±0.175,0.095±0.075,0.221±0.145,0.344±0.447,0.091±0.108,0.001±0.001,0.0±0.0,0.001±0.001,148.8954397615977,69.06178191465573
2CXO J052246.5+332511,TTau*,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.333±0.471,0.0±0.0,0.341±0.466,0.321±0.454,0.005±0.007,80.69393858485114,33.41980534934701
2CXO J095611.6+693803,XB,HMXB,3,0.0±0.0,0.004±0.005,0.023±0.026,0.143±0.202,0.43±0.405,0.173±0.129,0.226±0.286,0.0±0.0,0.0±0.0,0.0±0.0,149.04841723258926,69.6344324145308
2CXO J205806.3+052317,HMXB,AGN,3,0.037±0.035,0.377±0.341,0.055±0.046,0.008±0.011,0.086±0.119,0.081±0.111,0.066±0.093,0.004±0.005,0.282±0.399,0.004±0.006,314.5265558172191,5.388179405780225
2CXO J095837.1+023549,HMXB,YSO,3,0.003±0.004,0.154±0.124,0.084±0.118,0.09±0.126,0.138±0.125,0.0±0.0,0.0±0.0,0.329±0.294,0.028±0.038,0.174±0.162,149.65471852808946,2.596963667954032
2CXO J095503.7+694329,LMXB,HMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.014,0.434±0.398,0.273±0.386,0.0±0.0,0.254±0.342,0.0±0.0,0.028±0.04,148.76563798646754,69.72478519802698
