name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J035956.5+541853,AGN,LMXB,3,0.003±0.004,0.289±0.167,0.006±0.002,0.004±0.003,0.221±0.224,0.453±0.296,0.0±0.0,0.003±0.002,0.001±0.002,0.02±0.026,59.98564047482142,54.31486567711648
2CXO J084032.0+295332,Seyfert_1,AGN,3,0.154±0.101,0.308±0.332,0.233±0.203,0.169±0.239,0.129±0.112,0.002±0.003,0.005±0.006,0.0±0.0,0.0±0.0,0.0±0.0,130.13355919752678,29.8924813127824
2CXO J203426.1+600909,HMXB,Orion_V*,3,0.0±0.0,0.032±0.042,0.0±0.0,0.064±0.09,0.169±0.226,0.008±0.006,0.003±0.004,0.158±0.164,0.131±0.177,0.436±0.391,308.6088504794958,60.15261836414002
2CXO J171824.1-402933,LMXB,Orion_V*,3,0.0±0.0,0.003±0.004,0.014±0.02,0.0±0.0,0.024±0.017,0.317±0.405,0.0±0.0,0.232±0.322,0.0±0.0,0.411±0.4,259.6006261560806,-40.49254490480462
2CXO J091721.0+415442,Seyfert_1,LMXB,3,0.038±0.053,0.054±0.066,0.233±0.321,0.067±0.093,0.273±0.301,0.282±0.352,0.052±0.037,0.002±0.003,0.0±0.0,0.0±0.0,139.33769836379167,41.91176781462026
2CXO J162335.5-264746,TTau*,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.002,0.034±0.048,0.0±0.0,0.213±0.202,0.35±0.254,0.4±0.023,245.8981250241378,-26.796368797354848
2CXO J074455.7+742154,Seyfert_1,HMXB,3,0.062±0.055,0.057±0.072,0.319±0.287,0.116±0.142,0.338±0.404,0.039±0.029,0.039±0.047,0.02±0.028,0.0±0.0,0.01±0.014,116.2321666368818,74.36516044482738
2CXO J072032.0+711212,Seyfert_1,HMXB,3,0.037±0.047,0.017±0.02,0.33±0.459,0.002±0.001,0.351±0.304,0.179±0.253,0.01±0.014,0.065±0.092,0.0±0.0,0.009±0.013,110.1333691673904,71.2034469737136
2CXO J072010.4+705736,AGN,Seyfert_1,3,0.222±0.166,0.348±0.242,0.361±0.342,0.049±0.064,0.018±0.022,0.001±0.001,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,110.04346897060044,70.96002190910289
2CXO J151646.4+071011,HMXB,AGN,3,0.357±0.072,0.384±0.225,0.133±0.187,0.0±0.0,0.124±0.162,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.001,229.1935755529452,7.169751603650245
2CXO J034011.7-183448,QSO,YSO,3,0.316±0.446,0.001±0.001,0.008±0.011,0.0±0.0,0.0±0.0,0.14±0.198,0.018±0.026,0.334±0.431,0.0±0.0,0.183±0.249,55.049141113679525,-18.580231278279665
2CXO J030947.6-203531,LMXB,QSO,3,0.28±0.384,0.238±0.102,0.042±0.046,0.178±0.206,0.079±0.059,0.123±0.127,0.058±0.052,0.001±0.001,0.0±0.0,0.0±0.0,47.448601557122,-20.592188707315888
2CXO J030953.6-203323,Seyfert_2,HMXB,3,0.162±0.198,0.197±0.23,0.003±0.003,0.198±0.28,0.271±0.368,0.096±0.074,0.065±0.08,0.008±0.011,0.0±0.0,0.0±0.0,47.47360918262245,-20.55661162633068
2CXO J071717.2+374231,XB,AGN,3,0.301±0.149,0.395±0.159,0.13±0.057,0.029±0.041,0.03±0.022,0.011±0.015,0.089±0.126,0.005±0.003,0.002±0.003,0.009±0.012,109.32167420759106,37.70885704614479
2CXO J025435.5+413546,QSO,Seyfert_1,3,0.257±0.3,0.34±0.385,0.395±0.42,0.001±0.001,0.004±0.005,0.002±0.002,0.0±0.0,0.0±0.0,0.001±0.002,0.0±0.0,43.64833160149311,41.59633270413645
2CXO J020904.0+105728,YSO,TTau*,3,0.115±0.09,0.148±0.198,0.118±0.165,0.001±0.002,0.007±0.01,0.009±0.007,0.001±0.001,0.212±0.276,0.34±0.364,0.05±0.035,32.266969290932764,10.957792605485851
2CXO J173047.3-214352,HMXB,YSO,3,0.0±0.0,0.083±0.103,0.0±0.0,0.0±0.0,0.346±0.077,0.09±0.051,0.002±0.002,0.386±0.201,0.0±0.0,0.092±0.118,262.697498398426,-21.73120570674114
2CXO J050814.1-672059,Seyfert_2,Seyfert_1,3,0.033±0.038,0.072±0.093,0.39±0.336,0.266±0.279,0.196±0.272,0.0±0.0,0.043±0.061,0.0±0.0,0.0±0.0,0.0±0.0,77.05879130095019,-67.34976322536897
2CXO J050727.0-680043,AGN,Seyfert_1,3,0.13±0.044,0.29±0.243,0.348±0.384,0.063±0.089,0.105±0.082,0.044±0.058,0.019±0.02,0.001±0.002,0.0±0.0,0.001±0.002,76.86270811602469,-68.01201540268745
2CXO J114004.6-320040,TTau*,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.004±0.006,0.001±0.001,0.0±0.0,0.53±0.354,0.211±0.214,0.254±0.353,175.01930913177227,-32.01138245649887
2CXO J004207.9+410436,YSO,QSO,3,0.273±0.385,0.0±0.0,0.0±0.0,0.0±0.0,0.181±0.148,0.0±0.0,0.0±0.0,0.269±0.379,0.205±0.29,0.071±0.088,10.532941937398276,41.07693222237415
2CXO J122433.5+124851,QSO,AGN,3,0.369±0.275,0.372±0.237,0.071±0.071,0.002±0.003,0.137±0.178,0.013±0.016,0.015±0.015,0.0±0.0,0.02±0.027,0.0±0.0,186.13973781231755,12.814245470158646
2CXO J104827.1+123842,XB,HMXB,3,0.122±0.119,0.122±0.102,0.027±0.017,0.062±0.077,0.463±0.374,0.064±0.088,0.141±0.1,0.0±0.0,0.0±0.0,0.0±0.0,162.11322478707723,12.64511591681827
2CXO J104829.9+123426,QSO,Seyfert_1,3,0.423±0.3,0.019±0.025,0.434±0.148,0.122±0.172,0.002±0.003,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,162.12488329479686,12.574096426690495
2CXO J122254.7+154916,TTau*,Orion_V*,3,0.0±0.0,0.001±0.002,0.0±0.0,0.005±0.007,0.016±0.022,0.141±0.199,0.171±0.242,0.029±0.034,0.18±0.25,0.457±0.405,185.72820625233453,15.821197625977888
2CXO J133742.4-295138,LMXB,QSO,3,0.299±0.347,0.128±0.035,0.185±0.261,0.03±0.042,0.059±0.072,0.272±0.377,0.028±0.016,0.0±0.0,0.0±0.0,0.0±0.0,204.42703070478592,-29.860594123619027
2CXO J010347.8-215240,TTau*,AGN,3,0.24±0.302,0.3±0.126,0.011±0.01,0.007±0.006,0.133±0.079,0.085±0.06,0.088±0.065,0.034±0.045,0.082±0.107,0.019±0.023,15.949337943802618,-21.877896795539684
2CXO J010340.5-215352,AGN,LMXB,3,0.19±0.131,0.183±0.091,0.046±0.065,0.001±0.002,0.238±0.25,0.297±0.365,0.044±0.033,0.0±0.0,0.0±0.0,0.0±0.0,15.919001383596878,-21.89791619350173
2CXO J150105.5+014330,XB,HMXB,3,0.007±0.004,0.105±0.141,0.002±0.002,0.005±0.006,0.368±0.313,0.354±0.404,0.157±0.16,0.001±0.001,0.001±0.001,0.0±0.001,225.27330301386723,1.7252421510688278
2CXO J223125.0+391914,QSO,Seyfert_1,3,0.313±0.442,0.023±0.028,0.339±0.413,0.009±0.006,0.315±0.403,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,337.8542713418474,39.320582572845645
2CXO J135114.7+682502,HMXB,Seyfert_2,3,0.109±0.126,0.107±0.11,0.246±0.239,0.279±0.394,0.193±0.254,0.018±0.017,0.034±0.026,0.004±0.005,0.001±0.001,0.009±0.013,207.8116029722246,68.41745914652742
2CXO J123519.2+123314,HMXB,AGN,3,0.052±0.035,0.401±0.301,0.235±0.317,0.013±0.018,0.168±0.181,0.102±0.116,0.025±0.018,0.002±0.003,0.002±0.002,0.001±0.001,188.83036204695213,12.553900834342535
2CXO J123030.4+414142,YSO,HMXB,3,0.0±0.0,0.007±0.006,0.0±0.0,0.0±0.0,0.523±0.314,0.016±0.018,0.0±0.0,0.333±0.229,0.002±0.002,0.12±0.134,187.62699381839093,41.695090842370206
2CXO J142316.2+460451,QSO,Seyfert_1,3,0.239±0.311,0.034±0.016,0.415±0.321,0.31±0.347,0.003±0.004,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,215.81753904700884,46.081051048914894
2CXO J122810.9+440648,TTau*,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.023±0.031,0.0±0.0,0.0±0.0,0.369±0.405,0.206±0.29,0.402±0.337,187.0456658289305,44.113493665656094
2CXO J122906.0+020257,Seyfert_1,QSO,3,0.572±0.247,0.008±0.004,0.393±0.233,0.028±0.039,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,187.275146871179,2.0493649458656367
2CXO J002408.3-720431,TTau*,Seyfert_1,3,0.045±0.044,0.048±0.067,0.366±0.423,0.286±0.404,0.0±0.0,0.007±0.005,0.0±0.0,0.0±0.0,0.248±0.35,0.0±0.0,6.034720257866809,-72.07541651218435
2CXO J002446.8-721235,QSO,Seyfert_1,3,0.449±0.137,0.045±0.04,0.501±0.104,0.005±0.003,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,6.195294441806084,-72.20975528213975
2CXO J123044.2+122209,QSO,YSO,3,0.288±0.204,0.231±0.175,0.147±0.143,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.004,0.332±0.47,0.0±0.0,0.0±0.0,187.6844232384313,12.3692881439598
2CXO J010227.0-491429,AGN,Seyfert_1,3,0.323±0.345,0.335±0.329,0.336±0.397,0.003±0.004,0.002±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,15.612741811753551,-49.241649436126615
2CXO J123450.5+620839,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.026±0.021,0.31±0.439,0.0±0.0,0.313±0.424,0.0±0.0,0.351±0.427,188.71072297650983,62.14442030651245
2CXO J132528.3-430103,Seyfert_2,AGN,3,0.0±0.0,0.37±0.263,0.019±0.027,0.28±0.215,0.316±0.448,0.0±0.0,0.001±0.001,0.005±0.007,0.007±0.011,0.0±0.0,201.3680770774239,-43.01751007052957
2CXO J141239.0-652332,Orion_V*,Seyfert_1,3,0.0±0.0,0.003±0.005,0.333±0.471,0.0±0.0,0.144±0.203,0.057±0.074,0.0±0.0,0.233±0.184,0.0±0.0,0.229±0.227,213.16281323359817,-65.39242016967313
2CXO J141309.5-652021,LMXB,HMXB,3,0.001±0.002,0.043±0.053,0.037±0.047,0.259±0.367,0.291±0.21,0.27±0.236,0.0±0.0,0.05±0.051,0.0±0.0,0.048±0.067,213.28997814277287,-65.33940338660203
2CXO J132528.2-430253,Seyfert_1,QSO,3,0.319±0.032,0.313±0.247,0.189±0.267,0.0±0.0,0.001±0.001,0.0±0.001,0.001±0.001,0.0±0.0,0.176±0.249,0.0±0.0,201.3675513034561,-43.04813897013189
2CXO J123059.5+122038,QSO,Seyfert_1,3,0.186±0.225,0.004±0.005,0.469±0.372,0.007±0.01,0.001±0.001,0.003±0.004,0.0±0.0,0.004±0.005,0.0±0.0,0.327±0.462,187.74812048973365,12.344159280173743
2CXO J003717.2-333435,QSO,AGN,3,0.266±0.373,0.356±0.453,0.067±0.095,0.046±0.065,0.001±0.001,0.264±0.373,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,9.322048467240506,-33.57657943907674
2CXO J132526.4-430054,AGN,Seyfert_2,3,0.0±0.0,0.299±0.236,0.006±0.008,0.366±0.074,0.189±0.213,0.14±0.153,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,201.36010687287944,-43.01506336003275
2CXO J004242.5+411659,Seyfert_1,HMXB,3,0.042±0.028,0.232±0.123,0.149±0.207,0.017±0.019,0.35±0.104,0.111±0.08,0.096±0.061,0.001±0.001,0.0±0.0,0.001±0.002,10.67719333900618,41.28314710937237
2CXO J133320.9+503104,YSO,HMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.311±0.438,0.0±0.0,0.0±0.0,0.306±0.381,0.288±0.318,0.095±0.117,203.3373977733721,50.517778523391215
2CXO J150234.5-414200,LMXB,HMXB,3,0.005±0.006,0.106±0.095,0.012±0.009,0.007±0.009,0.436±0.324,0.309±0.182,0.09±0.127,0.034±0.048,0.0±0.0,0.0±0.0,225.64389839607497,-41.70023135954781
2CXO J150211.6-420429,QSO,AGN,3,0.315±0.441,0.329±0.389,0.073±0.052,0.023±0.032,0.101±0.143,0.109±0.155,0.05±0.07,0.0±0.0,0.0±0.0,0.0±0.0,225.54874130330188,-42.07480638449786
2CXO J124908.0-055612,Seyfert_1,QSO,3,0.382±0.332,0.04±0.028,0.238±0.262,0.003±0.002,0.324±0.45,0.0±0.0,0.0±0.0,0.0±0.0,0.009±0.013,0.004±0.006,192.2836223179686,-5.936876676715928
2CXO J004718.4-251914,Seyfert_2,HMXB,3,0.0±0.0,0.011±0.014,0.122±0.171,0.212±0.298,0.324±0.424,0.29±0.389,0.042±0.033,0.0±0.0,0.0±0.0,0.0±0.0,11.82706970362949,-25.32063033997965
2CXO J013330.6+303404,AGN,LMXB,3,0.009±0.012,0.325±0.154,0.012±0.011,0.002±0.001,0.257±0.277,0.388±0.167,0.0±0.0,0.004±0.005,0.0±0.0,0.002±0.003,23.37770398807908,30.56785558058584
2CXO J215357.5+164447,QSO,XB,3,0.275±0.173,0.186±0.127,0.191±0.158,0.004±0.006,0.01±0.009,0.003±0.004,0.332±0.431,0.0±0.0,0.0±0.0,0.0±0.0,328.4899698818755,16.746422794676764
2CXO J215457.3+164905,LMXB,HMXB,3,0.0±0.0,0.157±0.112,0.012±0.008,0.001±0.0,0.489±0.363,0.325±0.235,0.0±0.0,0.013±0.017,0.0±0.0,0.003±0.004,328.7390877234702,16.81819895512732
2CXO J004349.2-202614,LMXB,Seyfert_2,3,0.089±0.089,0.181±0.148,0.101±0.142,0.32±0.387,0.092±0.062,0.144±0.171,0.026±0.035,0.018±0.012,0.008±0.008,0.022±0.022,10.955186290465347,-20.43731458569247
2CXO J121924.1+292254,YSO,AGN,3,0.322±0.3,0.36±0.268,0.014±0.01,0.0±0.0,0.003±0.002,0.0±0.0,0.0±0.0,0.298±0.422,0.001±0.001,0.001±0.002,184.8505977436546,29.381712420478152
2CXO J133712.5-295154,YSO,AGN,3,0.0±0.0,0.286±0.202,0.005±0.006,0.0±0.001,0.261±0.215,0.176±0.245,0.0±0.0,0.269±0.375,0.0±0.0,0.002±0.003,204.30222706065933,-29.865251145609182
2CXO J130003.9+275550,Seyfert_2,LMXB,3,0.03±0.042,0.082±0.058,0.139±0.098,0.189±0.263,0.182±0.151,0.374±0.346,0.005±0.006,0.0±0.0,0.0±0.0,0.0±0.0,195.0163201502121,27.930675047691544
2CXO J125906.6-015058,QSO,Seyfert_1,3,0.243±0.211,0.153±0.165,0.323±0.359,0.041±0.026,0.114±0.157,0.058±0.071,0.036±0.05,0.0±0.001,0.031±0.044,0.0±0.0,194.77763069082167,-1.8495223273958108
2CXO J133719.8-295348,YSO,QSO,3,0.267±0.377,0.01±0.014,0.0±0.001,0.138±0.195,0.163±0.198,0.0±0.0,0.0±0.0,0.262±0.216,0.063±0.089,0.096±0.107,204.3325237519328,-29.89684970840614
2CXO J053526.9-052400,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.585±0.369,0.003±0.003,0.0±0.0,0.235±0.219,0.034±0.019,0.143±0.135,83.86237618364089,-5.400119139941967
2CXO J174441.6-284653,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.012±0.012,0.0±0.0,0.484±0.484,0.002±0.002,0.0±0.0,0.359±0.359,0.03±0.03,0.114±0.109,266.17374983222817,-28.781548482495456
2CXO J122648.5+215300,QSO,HMXB,2,0.29±0.289,0.0±0.0,0.076±0.069,0.0±0.0,0.47±0.47,0.001±0.0,0.0±0.0,0.098±0.098,0.001±0.001,0.065±0.015,186.70227453208489,21.88359014474965
2CXO J122657.3+441838,QSO,Seyfert_1,2,0.432±0.382,0.053±0.052,0.515±0.434,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,186.7390744697807,44.31067996924507
2CXO J053540.2-051728,YSO,HMXB,2,0.0±0.0,0.007±0.007,0.0±0.0,0.001±0.001,0.492±0.492,0.0±0.0,0.001±0.001,0.444±0.444,0.011±0.01,0.046±0.046,83.91777135908444,-5.291160265994963
2CXO J122700.8+214758,QSO,AGN,2,0.357±0.191,0.385±0.384,0.07±0.016,0.0±0.0,0.068±0.056,0.008±0.008,0.049±0.049,0.048±0.048,0.002±0.002,0.013±0.013,186.75339632434032,21.79970310692158
2CXO J180349.1-242203,TTau*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.131±0.13,0.0±0.0,0.0±0.0,0.531±0.319,0.205±0.161,0.133±0.028,270.9546412337792,-24.36762086131392
2CXO J132519.0-430156,XB,QSO,2,0.356±0.208,0.235±0.006,0.074±0.065,0.004±0.004,0.011±0.001,0.031±0.017,0.288±0.268,0.0±0.0,0.001±0.001,0.0±0.0,201.3295290890943,-43.03239669152836
2CXO J053521.0-052355,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.007±0.003,0.0±0.0,0.0±0.0,0.299±0.168,0.185±0.125,0.509±0.29,83.83757625275592,-5.398761711355561
2CXO J132519.3-430157,XB,QSO,2,0.356±0.208,0.235±0.006,0.074±0.065,0.004±0.004,0.011±0.001,0.031±0.017,0.288±0.268,0.0±0.0,0.001±0.001,0.0±0.0,201.3304528784821,-43.0325245650272
2CXO J132600.2-424345,HMXB,Seyfert_2,2,0.0±0.0,0.001±0.001,0.019±0.019,0.431±0.345,0.387±0.343,0.097±0.081,0.065±0.064,0.0±0.0,0.0±0.0,0.0±0.0,201.5010564567364,-42.72935415616767
2CXO J132523.0-430145,Seyfert_2,AGN,2,0.082±0.082,0.402±0.4,0.015±0.015,0.245±0.245,0.185±0.182,0.006±0.005,0.006±0.006,0.002±0.002,0.002±0.002,0.055±0.055,201.3461216753648,-43.02930418364545
2CXO J122310.1+154659,LMXB,Seyfert_1,2,0.118±0.07,0.154±0.148,0.463±0.461,0.01±0.01,0.035±0.034,0.219±0.219,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,185.79234616499525,15.783186295683414
2CXO J132523.2+305503,AGN,HMXB,2,0.073±0.073,0.366±0.365,0.015±0.014,0.0±0.0,0.415±0.413,0.085±0.085,0.0±0.0,0.005±0.005,0.013±0.013,0.028±0.028,201.3469150402783,30.91759326158546
2CXO J053728.3-692029,Seyfert_2,YSO,2,0.001±0.001,0.093±0.062,0.0±0.0,0.255±0.255,0.269±0.021,0.078±0.076,0.0±0.0,0.299±0.243,0.0±0.0,0.006±0.005,84.36827938006053,-69.34143667736436
2CXO J055230.1+323306,HMXB,Seyfert_2,2,0.0±0.0,0.0±0.0,0.0±0.0,0.499±0.499,0.407±0.406,0.025±0.025,0.0±0.0,0.069±0.069,0.0±0.0,0.0±0.0,88.12581131879796,32.5518778177708
2CXO J132935.0+471956,AGN,QSO,2,0.303±0.081,0.268±0.117,0.042±0.004,0.013±0.013,0.017±0.008,0.084±0.061,0.042±0.042,0.126±0.126,0.101±0.08,0.003±0.003,202.39600481320983,47.33246635308866
2CXO J132900.3+471945,HMXB,AGN,2,0.144±0.144,0.301±0.301,0.069±0.025,0.079±0.079,0.231±0.166,0.002±0.002,0.173±0.173,0.0±0.0,0.0±0.0,0.0±0.0,202.251585550412,47.329296205995554
2CXO J175012.7-370306,HMXB,Seyfert_1,2,0.068±0.013,0.039±0.01,0.589±0.236,0.0±0.0,0.226±0.172,0.078±0.041,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,267.5529221282316,-37.05175799896489
2CXO J174928.3-291859,LMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,267.3680602889294,-29.316536768835803
2CXO J174914.7-370058,QSO,XB,2,0.179±0.179,0.141±0.141,0.174±0.173,0.116±0.116,0.021±0.009,0.001±0.0,0.369±0.369,0.0±0.0,0.0±0.0,0.0±0.0,267.3115426073341,-37.01616778949208
2CXO J122030.7+292645,YSO,HMXB,2,0.0±0.0,0.004±0.003,0.0±0.0,0.029±0.029,0.595±0.396,0.004±0.004,0.0±0.0,0.207±0.205,0.021±0.021,0.141±0.141,185.1282894991528,29.44588786573861
2CXO J060246.4+421937,AGN,QSO,2,0.497±0.082,0.356±0.082,0.14±0.002,0.0±0.0,0.001±0.0,0.0±0.0,0.001±0.001,0.001±0.001,0.004±0.0,0.0±0.0,90.69355670085326,42.327140311870046
2CXO J174540.1-290803,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.485±0.483,0.0±0.0,0.0±0.0,0.33±0.328,0.008±0.008,0.177±0.147,266.41741471369096,-29.134313469508182
2CXO J122037.9+291546,QSO,XB,2,0.196±0.196,0.178±0.178,0.29±0.078,0.002±0.002,0.015±0.004,0.003±0.003,0.316±0.304,0.0±0.0,0.0±0.0,0.0±0.0,185.15829834173576,29.26290660357516
2CXO J175138.3-294240,YSO,LMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.08±0.077,0.39±0.39,0.031±0.031,0.366±0.366,0.005±0.005,0.128±0.128,267.9097767029018,-29.71122999471576
2CXO J053731.9-691845,HMXB,YSO,2,0.0±0.0,0.043±0.041,0.0±0.0,0.0±0.0,0.281±0.162,0.165±0.161,0.001±0.001,0.47±0.362,0.0±0.0,0.04±0.004,84.38318048788477,-69.31258482562264
2CXO J132532.4-430033,AGN,LMXB,2,0.238±0.042,0.223±0.101,0.15±0.15,0.01±0.01,0.005±0.003,0.331±0.331,0.007±0.005,0.013±0.008,0.01±0.009,0.013±0.013,201.385103346694,-43.0092477833202
2CXO J055646.2-331026,Orion_V*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.518±0.468,0.004±0.004,0.477±0.463,89.19282020849602,-33.17399996998017
2CXO J053733.4-691831,HMXB,YSO,2,0.0±0.0,0.043±0.041,0.0±0.0,0.0±0.0,0.281±0.162,0.165±0.161,0.001±0.001,0.47±0.362,0.0±0.0,0.04±0.004,84.38932928150285,-69.30876139609781
2CXO J122017.1+290351,LMXB,HMXB,2,0.0±0.0,0.002±0.002,0.002±0.002,0.0±0.0,0.386±0.129,0.336±0.336,0.023±0.023,0.071±0.054,0.142±0.142,0.038±0.038,185.07156933578503,29.06424141531429
2CXO J174552.9-290358,TTau*,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.239±0.239,0.0±0.0,0.0±0.0,0.012±0.012,0.268±0.253,0.481±0.481,266.47049973355297,-29.06630681158049
2CXO J132546.5-430938,QSO,TTau*,2,0.177±0.177,0.0±0.0,0.001±0.001,0.174±0.174,0.0±0.0,0.013±0.013,0.0±0.0,0.033±0.033,0.601±0.33,0.002±0.002,201.44389805529727,-43.16066813687467
