name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J095456.7+174329,Seyfert_2,Seyfert_1,2,0.007±0.006,0.133±0.132,0.378±0.306,0.272±0.272,0.026±0.004,0.01±0.01,0.174±0.166,0.0±0.0,0.0±0.0,0.0±0.0,148.7366030949927,17.72497049675146
2CXO J110701.9-053221,TTau*,QSO,2,0.344±0.335,0.159±0.14,0.011±0.011,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.041±0.041,0.274±0.274,0.171±0.171,166.7583152563027,-5.5393061424066845
2CXO J094712.7+762313,Seyfert_1,Seyfert_2,2,0.002±0.002,0.099±0.099,0.376±0.376,0.52±0.478,0.002±0.002,0.001±0.001,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,146.80327481992856,76.38710111294482
2CXO J101812.9-585930,AGN,YSO,2,0.0±0.0,0.244±0.244,0.167±0.167,0.0±0.0,0.006±0.0,0.085±0.085,0.0±0.0,0.496±0.496,0.0±0.0,0.0±0.0,154.55382394102412,-58.99181772479543
2CXO J155055.8-562833,LMXB,HMXB,2,0.002±0.002,0.024±0.023,0.003±0.003,0.0±0.0,0.485±0.156,0.472±0.173,0.0±0.0,0.012±0.012,0.0±0.0,0.0±0.0,237.73286620351007,-56.47601513889939
2CXO J150332.6-413536,Seyfert_1,QSO,2,0.505±0.066,0.062±0.029,0.385±0.133,0.005±0.005,0.016±0.016,0.0±0.0,0.0±0.0,0.02±0.02,0.006±0.006,0.001±0.001,225.88587905769865,-41.59358816405578
2CXO J151353.1-590009,LMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,228.4712963102827,-59.00253474401646
2CXO J150207.0-415126,LMXB,HMXB,2,0.0±0.0,0.003±0.003,0.002±0.002,0.0±0.0,0.496±0.492,0.392±0.383,0.0±0.0,0.031±0.031,0.0±0.0,0.077±0.076,225.5292457143076,-41.85728558011158
2CXO J104350.4+113737,Seyfert_1,HMXB,2,0.026±0.023,0.09±0.004,0.342±0.335,0.092±0.092,0.425±0.421,0.025±0.025,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,160.96012078566662,11.627082008225164
2CXO J104402.9-593354,LMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.041±0.038,0.436±0.436,0.0±0.0,0.512±0.409,0.003±0.003,0.007±0.007,161.01247060433604,-59.56520053034912
2CXO J151026.7+332225,XB,AGN,2,0.078±0.067,0.3±0.133,0.016±0.016,0.169±0.169,0.171±0.072,0.032±0.032,0.179±0.171,0.017±0.017,0.001±0.001,0.038±0.038,227.6115951269794,33.373779403594185
2CXO J104410.1-593550,Orion_V*,Seyfert_2,2,0.0±0.0,0.0±0.0,0.0±0.0,0.494±0.485,0.004±0.003,0.0±0.0,0.0±0.0,0.087±0.086,0.097±0.093,0.318±0.309,161.04220573044643,-59.59748421751216
2CXO J104410.2-593554,Orion_V*,Seyfert_2,2,0.0±0.0,0.0±0.0,0.0±0.0,0.494±0.485,0.004±0.003,0.0±0.0,0.0±0.0,0.087±0.086,0.097±0.093,0.318±0.309,161.04261543120822,-59.59845208756939
2CXO J151013.4+332444,Seyfert_2,QSO,2,0.307±0.306,0.215±0.138,0.17±0.144,0.205±0.205,0.003±0.003,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.099±0.099,227.5560533780349,33.412249979527935
2CXO J150957.5+332919,Seyfert_2,XB,2,0.006±0.002,0.178±0.022,0.042±0.037,0.197±0.124,0.157±0.001,0.181±0.176,0.235±0.043,0.0±0.0,0.002±0.002,0.0±0.0,227.4897630452636,33.488763478102705
2CXO J104044.5+395709,Seyfert_2,Orion_V*,2,0.086±0.021,0.103±0.1,0.007±0.004,0.192±0.177,0.241±0.097,0.028±0.028,0.057±0.057,0.016±0.014,0.016±0.016,0.253±0.084,160.18570554519306,39.95266275886386
2CXO J103909.9-594715,TTau*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.497±0.497,0.0±0.0,0.0±0.0,0.196±0.19,0.304±0.304,0.003±0.003,159.79128544468244,-59.78754750825844
2CXO J103141.0+350615,Seyfert_1,QSO,2,0.544±0.284,0.07±0.018,0.164±0.132,0.092±0.092,0.04±0.008,0.029±0.027,0.061±0.06,0.0±0.0,0.0±0.0,0.0±0.0,157.92108512826462,35.10433629365516
2CXO J103133.8+345000,AGN,Seyfert_1,2,0.167±0.165,0.306±0.305,0.512±0.485,0.0±0.0,0.012±0.012,0.004±0.004,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,157.89096373019152,34.83347344785577
2CXO J150118.4+013836,LMXB,HMXB,2,0.0±0.0,0.042±0.038,0.0±0.0,0.013±0.011,0.466±0.388,0.274±0.253,0.192±0.175,0.011±0.011,0.0±0.0,0.002±0.002,225.32675179270632,1.6435703007823967
2CXO J154958.4+624121,HMXB,Seyfert_1,2,0.042±0.019,0.063±0.001,0.452±0.315,0.0±0.0,0.428±0.336,0.015±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.0,237.49335760757924,62.68935910073393
2CXO J155029.7+624840,LMXB,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.504±0.496,0.412±0.412,0.0±0.0,0.08±0.08,0.0±0.0,0.004±0.004,237.6239212419109,62.81112012005684
2CXO J150146.2+014614,QSO,AGN,2,0.231±0.214,0.619±0.329,0.131±0.12,0.0±0.0,0.013±0.011,0.001±0.0,0.004±0.004,0.0±0.0,0.001±0.001,0.0±0.0,225.4426597722416,1.7705930578295463
2CXO J151630.7+071540,AGN,QSO,2,0.331±0.31,0.264±0.236,0.169±0.161,0.009±0.009,0.222±0.222,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.004±0.004,229.12814712777617,7.261215252901021
2CXO J163935.5+464933,Seyfert_2,HMXB,2,0.0±0.0,0.004±0.004,0.002±0.0,0.175±0.175,0.36±0.05,0.287±0.284,0.172±0.163,0.0±0.0,0.0±0.0,0.0±0.0,249.89797443286648,46.8259281784522
2CXO J091822.3-120439,HMXB,LMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.366±0.365,0.578±0.397,0.0±0.0,0.029±0.02,0.023±0.009,0.004±0.004,139.59306347751055,-12.077636129867903
2CXO J091722.9+415957,YSO,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.01,0.0±0.0,0.252±0.233,0.556±0.405,0.182±0.163,139.34562992131328,41.99918069399885
2CXO J134147.6+261319,QSO,Seyfert_1,2,0.45±0.103,0.042±0.027,0.484±0.153,0.015±0.015,0.007±0.007,0.0±0.0,0.002±0.001,0.0±0.0,0.0±0.0,0.0±0.0,205.44839643270325,26.22217942199461
2CXO J173043.3-213220,LMXB,HMXB,2,0.012±0.012,0.008±0.008,0.0±0.0,0.0±0.0,0.505±0.142,0.231±0.224,0.0±0.0,0.052±0.043,0.0±0.0,0.192±0.12,262.68048832036834,-21.53905060907701
2CXO J114655.0+471833,Seyfert_2,HMXB,2,0.001±0.0,0.12±0.057,0.001±0.0,0.305±0.162,0.306±0.0,0.207±0.19,0.054±0.031,0.001±0.0,0.003±0.001,0.0±0.0,176.72925250024105,47.30944388647799
2CXO J134715.3+172725,TTau*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.003,0.0±0.0,0.457±0.456,0.263±0.258,0.277±0.202,206.81399444894063,17.457091263616753
2CXO J065514.7+540857,Seyfert_2,AGN,2,0.0±0.0,0.566±0.434,0.001±0.001,0.433±0.433,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,103.81130255963666,54.14931267155463
2CXO J114602.0+474342,Seyfert_1,QSO,2,0.518±0.101,0.015±0.013,0.466±0.089,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,176.5087419874443,47.72860629242039
2CXO J065853.5-560048,Orion_V*,XB,2,0.001±0.001,0.003±0.003,0.002±0.002,0.0±0.0,0.052±0.052,0.002±0.002,0.499±0.497,0.105±0.105,0.151±0.151,0.186±0.186,104.7230455338618,-56.01337725845188
2CXO J071721.6+372521,YSO,LMXB,2,0.013±0.013,0.0±0.0,0.0±0.0,0.0±0.0,0.111±0.063,0.4±0.4,0.0±0.0,0.365±0.365,0.001±0.001,0.109±0.109,109.34035624519332,37.42272287426899
2CXO J140228.7+541618,TTau*,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.011±0.007,0.0±0.0,0.0±0.0,0.205±0.021,0.311±0.244,0.473±0.258,210.61974127977032,54.27178444049297
2CXO J112829.5+583202,AGN,Seyfert_2,2,0.0±0.0,0.356±0.194,0.002±0.002,0.641±0.197,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,172.12297758715056,58.534101577512274
2CXO J112830.4+583346,HMXB,AGN,2,0.008±0.006,0.333±0.309,0.004±0.004,0.001±0.001,0.256±0.166,0.168±0.157,0.102±0.099,0.031±0.024,0.042±0.034,0.055±0.054,172.12695284036965,58.56281263096327
2CXO J113147.0-301235,HMXB,LMXB,2,0.0±0.0,0.02±0.015,0.002±0.002,0.042±0.033,0.385±0.062,0.484±0.168,0.067±0.059,0.0±0.0,0.0±0.0,0.0±0.0,172.94602990242686,-30.209736443476302
2CXO J065922.0-555014,QSO,HMXB,2,0.311±0.311,0.167±0.167,0.02±0.02,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,104.841933874088,-55.83743024699593
2CXO J114435.6+195029,Seyfert_1,QSO,2,0.396±0.279,0.029±0.029,0.383±0.132,0.0±0.0,0.182±0.182,0.0±0.0,0.0±0.0,0.002±0.002,0.008±0.008,0.0±0.0,176.1484003016816,19.84143415525718
2CXO J173933.1-534647,AGN,TTau*,2,0.133±0.133,0.302±0.302,0.004±0.003,0.0±0.0,0.003±0.002,0.002±0.002,0.059±0.059,0.005±0.005,0.421±0.42,0.073±0.072,264.8883157038704,-53.77995051063357
2CXO J133224.9+503510,XB,Seyfert_1,2,0.036±0.018,0.017±0.004,0.571±0.367,0.002±0.0,0.023±0.017,0.131±0.121,0.218±0.217,0.0±0.0,0.002±0.002,0.0±0.0,203.1038260786709,50.58613691206713
2CXO J174030.9-534752,HMXB,Seyfert_1,2,0.039±0.011,0.145±0.134,0.472±0.472,0.0±0.0,0.312±0.312,0.004±0.003,0.02±0.02,0.0±0.0,0.008±0.008,0.0±0.0,265.1288036937209,-53.79796843956393
2CXO J121533.1-652930,TTau*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.005±0.005,0.0±0.0,0.554±0.087,0.315±0.218,0.126±0.126,183.88793247466003,-65.49190382253748
2CXO J120207.7-185250,Orion_V*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.021±0.021,0.001±0.001,0.0±0.0,0.588±0.412,0.0±0.0,0.39±0.39,180.53222261385747,-18.88078019955794
2CXO J120212.3-190029,AGN,QSO,2,0.598±0.337,0.279±0.247,0.018±0.014,0.0±0.0,0.011±0.011,0.092±0.092,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,180.5514023544833,-19.008135396527223
2CXO J120214.3-185927,Seyfert_1,QSO,2,0.661±0.318,0.012±0.01,0.327±0.327,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,180.55976823593903,-18.990870617604177
2CXO J120246.4-185854,XB,AGN,2,0.08±0.073,0.369±0.081,0.015±0.015,0.0±0.0,0.25±0.227,0.026±0.02,0.261±0.253,0.0±0.0,0.0±0.0,0.0±0.0,180.69373205574152,-18.98185177809198
2CXO J065038.4+413257,LMXB,AGN,2,0.146±0.146,0.357±0.08,0.001±0.001,0.003±0.003,0.125±0.013,0.356±0.041,0.012±0.01,0.0±0.0,0.0±0.0,0.0±0.0,102.66012422885518,41.54916922483255
2CXO J065034.1+411659,HMXB,YSO,2,0.0±0.0,0.097±0.097,0.0±0.0,0.005±0.005,0.373±0.373,0.001±0.001,0.006±0.006,0.442±0.432,0.003±0.003,0.073±0.053,102.6421099440106,41.2831295690288
2CXO J133641.0-295110,HMXB,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.418±0.41,0.0±0.0,0.007±0.007,0.016±0.008,0.49±0.484,0.069±0.058,204.17101251656368,-29.85296251249105
2CXO J133629.0-295539,AGN,HMXB,2,0.041±0.041,0.404±0.404,0.054±0.054,0.0±0.0,0.489±0.488,0.0±0.0,0.0±0.0,0.005±0.005,0.0±0.0,0.006±0.006,204.12084123095823,-29.927621186885283
2CXO J112443.8-592203,HMXB,LMXB,2,0.0±0.0,0.029±0.027,0.009±0.009,0.146±0.146,0.268±0.226,0.382±0.253,0.0±0.0,0.165±0.155,0.0±0.0,0.001±0.0,171.18259626497922,-59.36758691296831
2CXO J091722.7+420000,YSO,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.01,0.0±0.0,0.252±0.233,0.556±0.405,0.182±0.163,139.3449100009733,42.00010429580137
2CXO J085347.3+512911,Seyfert_1,QSO,2,0.491±0.491,0.007±0.007,0.417±0.413,0.083±0.083,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,133.44715982174955,51.48658591381929
2CXO J170035.3-461454,TTau*,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.088±0.088,0.0±0.0,0.0±0.0,0.146±0.054,0.334±0.333,0.431±0.368,255.14733029359536,-46.24843558707274
2CXO J084955.2-454612,YSO,LMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.172±0.172,0.5±0.5,0.0±0.0,0.189±0.189,0.096±0.096,0.043±0.043,132.4802293603542,-45.77022505807252
2CXO J170147.8-295447,AGN,HMXB,2,0.064±0.034,0.205±0.114,0.2±0.1,0.095±0.095,0.397±0.342,0.02±0.011,0.02±0.01,0.0±0.0,0.0±0.0,0.0±0.0,255.44950289531403,-29.913241107281458
2CXO J170210.7-301425,HMXB,YSO,2,0.0±0.0,0.003±0.003,0.0±0.0,0.0±0.0,0.214±0.214,0.009±0.008,0.0±0.0,0.469±0.173,0.001±0.001,0.304±0.053,255.54471290677657,-30.240397416270795
2CXO J084207.5+322645,Seyfert_2,Seyfert_1,2,0.149±0.117,0.196±0.137,0.326±0.107,0.238±0.237,0.026±0.025,0.017±0.017,0.046±0.046,0.0±0.0,0.003±0.003,0.0±0.0,130.53147459300567,32.446029433336925
2CXO J084200.0-173027,Seyfert_1,QSO,2,0.532±0.297,0.172±0.008,0.285±0.28,0.0±0.0,0.008±0.008,0.001±0.001,0.002±0.002,0.0±0.0,0.0±0.0,0.001±0.001,130.50035654050748,-17.507731524894773
2CXO J170341.9-223829,YSO,AGN,2,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.499±0.499,0.0±0.0,0.001±0.001,255.9247303351466,-22.64150660636626
2CXO J084052.0+295746,Seyfert_1,YSO,2,0.155±0.155,0.072±0.072,0.182±0.182,0.084±0.084,0.005±0.005,0.0±0.0,0.0±0.0,0.466±0.466,0.003±0.003,0.03±0.03,130.2169025584804,29.962805353911683
2CXO J111443.9-610838,YSO,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.396±0.189,0.594±0.179,0.009±0.009,168.68318450720335,-61.14416405232664
2CXO J165425.9-414955,LMXB,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.653±0.272,0.347±0.272,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.608245589074,-41.83214881049584
2CXO J164132.7+364200,QSO,HMXB,2,0.353±0.307,0.121±0.02,0.091±0.089,0.01±0.009,0.425±0.425,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.3865884608948,36.70013391734009
2CXO J142040.4+414404,QSO,Seyfert_1,2,0.236±0.236,0.002±0.002,0.702±0.28,0.008±0.008,0.001±0.001,0.0±0.0,0.0±0.0,0.052±0.052,0.0±0.0,0.0±0.0,215.1683838078204,41.73451425819216
2CXO J141944.6+524626,QSO,AGN,2,0.297±0.297,0.52±0.463,0.167±0.149,0.016±0.016,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,214.9362266873632,52.77405419829442
2CXO J165117.9+051107,QSO,XB,2,0.232±0.228,0.011±0.009,0.068±0.064,0.036±0.036,0.105±0.103,0.111±0.007,0.437±0.376,0.0±0.0,0.0±0.0,0.001±0.001,252.82496829814363,5.185513746857061
2CXO J165122.8+045555,QSO,AGN,2,0.293±0.265,0.64±0.329,0.004±0.002,0.016±0.016,0.031±0.031,0.0±0.0,0.015±0.015,0.0±0.0,0.0±0.0,0.0±0.0,252.84501370463408,4.931945934768045
2CXO J141943.8+524618,QSO,AGN,2,0.297±0.297,0.52±0.463,0.167±0.149,0.016±0.016,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,214.93284726469776,52.77178183488779
2CXO J090506.4-322140,QSO,AGN,2,0.199±0.114,0.459±0.285,0.13±0.109,0.0±0.0,0.047±0.023,0.065±0.047,0.09±0.002,0.002±0.001,0.004±0.004,0.005±0.005,136.27706825261737,-32.36132275734375
2CXO J084029.7+295949,AGN,Seyfert_1,2,0.017±0.016,0.295±0.295,0.513±0.482,0.002±0.002,0.173±0.173,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,130.12397949707508,29.99702968048956
2CXO J083934.4+295526,AGN,QSO,2,0.56±0.285,0.334±0.246,0.031±0.022,0.001±0.001,0.029±0.029,0.004±0.004,0.01±0.01,0.0±0.0,0.029±0.029,0.0±0.0,129.89374690679517,29.924006849354505
2CXO J111914.2-612749,Orion_V*,LMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.51±0.49,0.0±0.0,0.0±0.0,0.0±0.0,0.49±0.49,169.80948374622176,-61.46366739177604
2CXO J140659.0+341446,Seyfert_1,QSO,2,0.461±0.253,0.08±0.07,0.349±0.226,0.107±0.099,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,211.7461202237716,34.2461633329168
2CXO J140321.6-335911,QSO,Seyfert_1,2,0.408±0.251,0.064±0.051,0.516±0.305,0.001±0.001,0.006±0.006,0.0±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.004±0.004,210.84023319173664,-33.986600546084134
2CXO J112428.9-592128,QSO,HMXB,2,0.197±0.197,0.168±0.168,0.034±0.034,0.014±0.014,0.297±0.18,0.028±0.028,0.0±0.0,0.017±0.017,0.245±0.245,0.0±0.0,171.12067297329995,-59.3577880542
2CXO J111459.4-611433,LMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.009±0.008,0.306±0.157,0.0±0.0,0.411±0.336,0.0±0.0,0.274±0.171,168.74786846704626,-61.24276140577795
2CXO J111607.3+013512,HMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.304±0.304,0.0±0.0,0.0±0.0,0.588±0.211,0.0±0.0,0.108±0.093,169.03064946603604,1.5868020395588258
2CXO J141529.1+361259,LMXB,Seyfert_2,2,0.002±0.002,0.026±0.005,0.002±0.002,0.425±0.425,0.267±0.162,0.26±0.237,0.0±0.0,0.014±0.013,0.0±0.0,0.005±0.005,213.8715111273666,36.216601441998826
2CXO J141527.0+360635,Seyfert_1,QSO,2,0.404±0.003,0.132±0.016,0.288±0.154,0.011±0.01,0.028±0.022,0.031±0.028,0.107±0.094,0.0±0.0,0.0±0.0,0.0±0.0,213.8628107208941,36.109842281937205
2CXO J171648.2-624923,XB,HMXB,2,0.008±0.007,0.11±0.086,0.001±0.001,0.008±0.008,0.477±0.394,0.13±0.089,0.203±0.202,0.031±0.021,0.004±0.004,0.03±0.018,259.20096731768217,-62.823267232638365
2CXO J141433.0-653030,XB,LMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.5±0.5,0.0±0.0,0.0±0.0,0.0±0.0,213.6376916947684,-65.50833401472201
2CXO J172031.9-355357,YSO,HMXB,2,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.531±0.399,0.001±0.001,0.0±0.0,0.188±0.136,0.144±0.144,0.135±0.12,260.13332528829164,-35.89921521781429
2CXO J191101.5+085247,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.456±0.453,0.0±0.0,0.544±0.453,287.75642326271145,8.879861954146373
2CXO J004240.7+405117,TTau*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.021±0.021,0.0±0.0,0.5±0.456,0.427±0.426,0.052±0.05,10.669728555291158,40.8547374339396
2CXO J033207.9-273732,LMXB,AGN,2,0.0±0.0,0.518±0.277,0.0±0.0,0.0±0.0,0.029±0.02,0.287±0.287,0.0±0.0,0.121±0.033,0.0±0.0,0.046±0.042,53.03315580900215,-27.625689403510624
2CXO J010300.4-491709,Seyfert_2,AGN,2,0.027±0.019,0.579±0.412,0.012±0.012,0.197±0.197,0.041±0.04,0.027±0.027,0.117±0.117,0.0±0.0,0.0±0.0,0.0±0.0,15.75167546855124,-49.28586549284664
2CXO J230744.9-223808,Seyfert_1,QSO,2,0.714±0.286,0.009±0.009,0.252±0.252,0.024±0.024,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,346.9372944183432,-22.635643068525773
2CXO J004245.2+411722,XB,HMXB,2,0.087±0.025,0.097±0.071,0.06±0.049,0.013±0.011,0.459±0.252,0.087±0.029,0.194±0.177,0.001±0.001,0.0±0.0,0.002±0.002,10.688401214762791,41.28951764650566
2CXO J201359.4-564810,HMXB,AGN,2,0.007±0.006,0.504±0.483,0.0±0.0,0.0±0.0,0.195±0.195,0.134±0.134,0.003±0.003,0.038±0.038,0.104±0.104,0.016±0.016,303.49768051816227,-56.80287269380855
2CXO J201358.4-565137,LMXB,HMXB,2,0.026±0.022,0.16±0.063,0.08±0.08,0.017±0.016,0.401±0.19,0.166±0.119,0.136±0.033,0.004±0.004,0.005±0.005,0.006±0.006,303.4933634538587,-56.8604550136432
2CXO J004242.0+411532,AGN,QSO,2,0.497±0.497,0.497±0.497,0.0±0.0,0.0±0.0,0.003±0.003,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.003,10.675351848383968,41.25890459536686
2CXO J010257.4-215845,Seyfert_1,TTau*,2,0.002±0.002,0.0±0.0,0.444±0.444,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.554±0.446,0.0±0.0,15.739489211413968,-21.97943657672732
2CXO J004233.2+410329,TTau*,AGN,2,0.019±0.019,0.22±0.22,0.093±0.093,0.062±0.062,0.023±0.007,0.053±0.053,0.038±0.038,0.131±0.131,0.204±0.204,0.157±0.157,10.638352188305872,41.058198798120046
2CXO J033601.8-360240,LMXB,AGN,2,0.007±0.007,0.459±0.385,0.02±0.019,0.003±0.002,0.156±0.127,0.325±0.27,0.026±0.019,0.001±0.001,0.002±0.001,0.001±0.001,54.00769355076716,-36.044551710729394
